unique_work_number,sanction_amount,sanction_date,work_status,implementing_agency,district
W-1903,12583563.6,2023-04-07,Completed,Gram Panchayat,District_8
W-1904,1126848.19,2023-09-01,Delayed,PWD,District_2
W-1905,16150791.97,2023-01-26,Completed,PWD,District_2
W-1906,2703239.57,2023-10-23,In Progress,Municipal Corporation,District_4
W-1907,16866971.08,2023-10-15,Delayed,Zila Parishad,District_6
W-1909,18841165.58,2023-05-07,Not Started,Municipal Corporation,District_4
W-1910,1445384.6,2023-09-22,Not Started,Gram Panchayat,District_8
W-1911,6493988.09,2023-05-10,In Progress,Municipal Corporation,District_4
W-1912,629164.5,2023-11-16,Completed,Gram Panchayat,District_7
W-1913,20490145.42,2023-05-11,Completed,Municipal Corporation,District_4
W-1914,12631516.18,2022-08-22,In Progress,Gram Panchayat,District_7
W-1915,13029759.04,2023-02-05,In Progress,Zila Parishad,District_9
W-1916,16855598.41,2023-02-06,Not Started,Zila Parishad,District_4
W-1918,15000000.0,2023-09-13,Not Started,Trust,District_1
W-1919,8380055.49,2024-01-04,Completed,Municipal Corporation,District_6
W-1920,2181136.06,2023-08-14,In Progress,Zila Parishad,District_8
W-1921,8438314.68,2023-04-11,In Progress,Zila Parishad,District_9
W-1922,16655002.61,2023-04-28,Completed,PWD,District_4
W-1923,10195851.01,2023-05-30,Not Started,PWD,District_3
W-1924,980727.66,2023-04-18,Delayed,PWD,District_4
W-1925,7474169.79,2023-08-11,Completed,PWD,District_8
W-1926,18356794.43,2022-07-20,In Progress,PWD,District_2
W-1927,11915421.69,2023-05-12,In Progress,Municipal Corporation,District_3
W-1928,988925.66,2023-02-17,Completed,PWD,District_2
W-1929,6178430.46,2023-12-10,In Progress,Gram Panchayat,District_8
W-1930,18837562.02,2023-07-28,In Progress,Zila Parishad,District_5
W-1932,13945152.06,2023-02-12,Completed,Zila Parishad,District_8
W-1933,17212167.25,2023-04-23,In Progress,Municipal Corporation,District_8
W-1934,17407207.05,2023-11-09,Completed,Municipal Corporation,District_4
W-1936,14717651.46,2023-07-28,Completed,Gram Panchayat,District_1
W-1937,1132966.15,2023-10-08,Delayed,Gram Panchayat,District_3
W-1938,17747204.42,2023-12-17,Not Started,PWD,District_4
W-1939,15000000.0,2023-08-23,In Progress,Trust,District_3
W-1940,5929391.64,2024-01-19,Delayed,Zila Parishad,District_5
W-1941,15555215.92,2023-03-08,In Progress,Zila Parishad,District_9
W-1942,15796795.5,2022-11-25,In Progress,Zila Parishad,District_4
W-1943,12477091.4,2024-02-08,Not Started,PWD,District_8
W-1944,2619737.38,2024-02-28,Delayed,Zila Parishad,District_2
W-1945,1664915.13,2022-05-23,In Progress,Municipal Corporation,District_6
W-1946,5258633.9,2023-03-21,Completed,Zila Parishad,District_2
W-1947,13444783.81,2023-05-06,Completed,Zila Parishad,District_2
W-1948,5359648.74,2023-07-23,Not Started,Zila Parishad,District_4
W-1950,8078047.84,2022-07-26,In Progress,Municipal Corporation,District_3
W-1951,6051097.78,2023-10-07,Not Started,Municipal Corporation,District_7
W-1952,16537134.4,2023-09-01,Completed,Zila Parishad,District_5
W-1953,2985709.75,2023-06-05,Delayed,Gram Panchayat,District_8
W-1954,10646243.9,2023-10-11,Completed,Municipal Corporation,District_5
W-1955,8859925.17,2023-06-14,In Progress,Zila Parishad,District_1
W-1956,15167954.04,2023-05-21,Not Started,PWD,District_9
W-1957,11439723.01,2024-02-28,Completed,Municipal Corporation,District_7
W-1958,1946998.06,2023-08-09,Delayed,Municipal Corporation,District_1
W-1960,17340556.97,2023-02-20,Completed,Gram Panchayat,District_3
W-1961,9434475.13,2023-12-03,In Progress,PWD,District_3
W-1962,11366789.21,2023-08-13,Not Started,Municipal Corporation,District_1
W-1964,11821444.59,2023-03-09,Not Started,PWD,District_3
W-1965,8031442.94,2023-09-07,Not Started,Municipal Corporation,District_9
W-1966,16576120.04,2022-11-12,In Progress,Zila Parishad,District_1
W-1967,19800856.57,2023-10-23,Delayed,Zila Parishad,District_4
W-1968,7722973.99,2023-02-26,Completed,PWD,District_9
W-1969,18219573.93,2023-11-28,Completed,Municipal Corporation,District_5
W-1970,11995041.26,2023-09-15,Completed,Zila Parishad,District_2
W-1972,11950109.09,2022-08-25,In Progress,Gram Panchayat,District_7
W-1973,20181953.11,2022-07-03,In Progress,Zila Parishad,District_7
W-1974,7014332.39,2023-04-13,Not Started,Municipal Corporation,District_5
W-1976,11410858.36,2023-04-14,Delayed,PWD,District_1
W-1977,1420573.14,2023-10-24,Delayed,Municipal Corporation,District_1
W-1978,14198270.67,2023-10-14,Delayed,Gram Panchayat,District_3
W-1979,11582735.32,2024-02-02,Not Started,Zila Parishad,District_3
W-1980,13866890.95,2023-07-10,In Progress,PWD,District_7
W-1981,15477407.48,2023-09-03,Not Started,Zila Parishad,District_5
W-1982,17340864.45,2023-09-11,Not Started,PWD,District_6
W-1983,19893117.01,2023-01-22,Delayed,Municipal Corporation,District_5
W-1984,18374233.01,2023-07-10,Delayed,Municipal Corporation,District_3
W-1985,15000000.0,,Not Started,Trust,District_9
W-1986,10523480.38,2023-08-10,Delayed,PWD,District_9
W-1987,17834696.87,2023-10-25,Completed,Zila Parishad,District_9
W-1988,785472.53,2023-12-26,Completed,Gram Panchayat,District_4
W-1989,7157281.83,2023-10-16,Delayed,Gram Panchayat,District_3
W-1990,12868535.79,2023-10-18,Not Started,Zila Parishad,District_2
W-1991,15822944.62,2023-11-06,Completed,Zila Parishad,District_2
W-1992,14231323.94,2023-10-24,Not Started,Zila Parishad,District_5
W-1993,3151241.26,2023-11-25,Delayed,Gram Panchayat,District_8
W-1994,6652736.95,2023-07-21,Completed,Gram Panchayat,District_4
W-1995,3136388.3,2023-04-04,Completed,PWD,District_6
W-1998,4504838.75,2023-09-24,Not Started,Gram Panchayat,District_5
W-1999,7479977.39,2022-10-05,In Progress,Gram Panchayat,District_8
W-9999,6335434.55,2022-06-14,In Progress,PWD,District_8
