unique_work_number,mp_name,state,constituency,work_name,work_category,recommended_amount,date_recommended,implementing_agency
W-1456,MP_20,Uttar Pradesh,Constituency_16,Construction of Roads at location 961,Roads,8923792.74,2023-07-28,Municipal Corporation
W-1457,MP_45,West Bengal,Constituency_12,Construction of Drinking Water at location 845,Drinking Water,3312680.41,2023-01-24,Gram Panchayat
W-1458,MP_1,Maharashtra,Constituency_11,Construction of Drinking Water at location 115,Drinking Water,9235447.3,2023-03-09,Municipal Corporation
W-1459,MP_26,West Bengal,Constituency_17,Construction of Roads at location 869,Roads,13302972.7,2023-06-25,Zila Parishad
W-1460,MP_25,West Bengal,Constituency_4,Construction of Drinking Water at location 595,Drinking Water,2590836.69,2023-03-06,Zila Parishad
W-1461,MP_41,Bihar,Constituency_16,Construction of Drinking Water at location 534,Drinking Water,13703923.14,2023-03-07,Zila Parishad
W-1462,MP_48,Maharashtra,Constituency_2,Construction of Education at location 865,Education,4912408.02,2023-04-09,Municipal Corporation
W-1463,MP_12,Uttar Pradesh,Constituency_14,Construction of Education at location 389,Education,2417725.97,2023-12-03,Zila Parishad
W-1464,MP_25,Maharashtra,Constituency_14,Construction of Drinking Water at location 157,Drinking Water,7818766.24,2023-12-01,Municipal Corporation
W-1465,MP_25,Kerala,Constituency_16,Construction of Roads at location 998,Roads,8567267.62,2023-07-15,Gram Panchayat
W-1466,MP_32,Kerala,Constituency_10,Construction of Roads at location 638,Roads,2453022.45,2023-03-08,PWD
W-1467,MP_39,Maharashtra,Constituency_13,Construction of Health at location 675,Health,1559787.92,2023-11-07,Zila Parishad
W-1468,MP_46,Bihar,Constituency_13,Construction of Sanitation at location 58,Sanitation,14317379.14,2023-04-16,PWD
W-1469,MP_43,Kerala,Constituency_6,Construction of Health at location 698,Health,17788611.11,2023-11-01,Zila Parishad
W-1470,MP_30,Kerala,Constituency_11,Construction of Drinking Water at location 825,Drinking Water,4250754.08,2023-11-25,Trust
W-1471,MP_42,Bihar,Constituency_18,Construction of Sanitation at location 167,Sanitation,14502329.14,2023-07-07,Zila Parishad
W-1472,MP_49,Uttar Pradesh,Constituency_5,Construction of Drinking Water at location 133,Drinking Water,14909143.88,2023-01-22,Municipal Corporation
W-1473,MP_26,Kerala,Constituency_1,Construction of Roads at location 753,Roads,16115952.95,2023-05-14,PWD
W-1474,MP_22,Kerala,Constituency_14,Construction of Drinking Water at location 935,Drinking Water,12815115.38,2023-05-20,Gram Panchayat
W-1475,MP_2,West Bengal,Constituency_15,Construction of Roads at location 781,Roads,14353225.39,2023-08-14,Zila Parishad
W-1476,MP_12,Bihar,Constituency_9,Construction of Sanitation at location 835,Sanitation,6144009.18,2023-05-19,Gram Panchayat
W-1477,MP_11,West Bengal,Constituency_4,Construction of Drinking Water at location 174,Drinking Water,5160454.76,2023-01-29,PWD
W-1478,MP_38,West Bengal,Constituency_2,Construction of Education at location 232,Education,19615093.55,2023-10-09,Gram Panchayat
W-1479,MP_6,Maharashtra,Constituency_10,Construction of Health at location 356,Health,18001880.37,2023-01-28,Zila Parishad
W-1480,MP_5,Kerala,Constituency_11,Construction of Education at location 347,Education,19316107.73,2023-08-04,Trust
W-1481,MP_39,West Bengal,Constituency_2,Construction of Sanitation at location 533,Sanitation,758983.47,2023-02-27,Gram Panchayat
W-1482,MP_33,Maharashtra,Constituency_3,Construction of Roads at location 819,Roads,17511693.99,2023-09-18,PWD
W-1483,MP_24,West Bengal,Constituency_5,Construction of Roads at location 200,Roads,11164852.52,2023-08-04,Zila Parishad
W-1484,MP_23,Uttar Pradesh,Constituency_8,Construction of Drinking Water at location 589,Drinking Water,7443312.33,2023-07-07,Gram Panchayat
W-1485,MP_7,Bihar,Constituency_18,Construction of Health at location 90,Health,6138166.01,2023-03-01,Gram Panchayat
W-1486,MP_29,Maharashtra,Constituency_14,Construction of Health at location 158,Health,16038800.62,2023-10-02,Zila Parishad
W-1487,MP_19,Maharashtra,Constituency_17,Construction of Education at location 326,Education,9986413.93,2023-04-30,Municipal Corporation
W-1488,MP_7,Kerala,Constituency_16,Construction of Education at location 16,Education,6320615.41,2023-01-12,Municipal Corporation
W-1489,MP_3,Maharashtra,Constituency_6,Construction of Health at location 966,Health,7105292.64,2023-04-13,PWD
W-1490,MP_32,Bihar,Constituency_10,Construction of Roads at location 910,Roads,5070216.77,2023-08-20,Zila Parishad
W-1491,MP_8,Kerala,Constituency_3,Construction of Health at location 182,Health,10797327.58,2023-12-28,Municipal Corporation
W-1492,MP_15,West Bengal,Constituency_5,Construction of Sanitation at location 626,Sanitation,2010930.72,2023-04-17,PWD
W-1493,MP_28,West Bengal,Constituency_11,Construction of Drinking Water at location 123,Drinking Water,17580693.93,2023-05-16,Municipal Corporation
W-1494,MP_14,Uttar Pradesh,Constituency_7,Construction of Health at location 75,Health,4456026.93,2023-10-22,Zila Parishad
W-1495,MP_5,Bihar,Constituency_13,Construction of Health at location 988,Health,9276251.32,2023-11-30,Gram Panchayat
W-1496,MP_3,Bihar,Constituency_14,Construction of Health at location 612,Health,4354960.91,2023-01-12,Zila Parishad
W-1497,MP_27,West Bengal,Constituency_6,Construction of Drinking Water at location 856,Drinking Water,2468361.7,2023-08-17,PWD
W-1498,MP_23,West Bengal,Constituency_7,Construction of Sanitation at location 674,Sanitation,2263170.07,2023-08-22,Zila Parishad
W-1499,MP_4,Kerala,Constituency_8,Construction of Education at location 100,Education,2544297.07,2023-09-18,Municipal Corporation
W-1500,MP_38,Uttar Pradesh,Constituency_18,Construction of Health at location 490,Health,8109651.72,2023-12-30,PWD
W-1501,MP_23,West Bengal,Constituency_3,Construction of Sanitation at location 455,Sanitation,11110457.04,2023-10-17,Zila Parishad
W-1502,MP_16,West Bengal,Constituency_15,Construction of Education at location 616,Education,8306432.43,2023-03-15,Municipal Corporation
W-1503,MP_11,Kerala,Constituency_18,Construction of Drinking Water at location 716,Drinking Water,17339357.66,2023-11-06,Zila Parishad
W-1504,MP_6,Uttar Pradesh,Constituency_15,Construction of Health at location 127,Health,16175267.78,2023-04-14,Zila Parishad
W-1505,MP_23,Maharashtra,Constituency_9,Construction of Education at location 754,Education,14498476.32,2023-07-18,Trust
W-1506,MP_46,West Bengal,Constituency_17,Construction of Sanitation at location 219,Sanitation,7663140.05,2023-12-14,Gram Panchayat
W-1507,MP_10,Kerala,Constituency_5,Construction of Education at location 121,Education,11142118.76,2023-05-21,Zila Parishad
W-1508,MP_36,Maharashtra,Constituency_11,Construction of Sanitation at location 218,Sanitation,15022639.27,2023-07-25,Zila Parishad
W-1509,MP_23,Uttar Pradesh,Constituency_11,Construction of Health at location 820,Health,17429959.98,2023-03-21,Municipal Corporation
W-1510,MP_42,West Bengal,Constituency_7,Construction of Drinking Water at location 232,Drinking Water,18432880.71,2023-08-21,Gram Panchayat
W-1511,MP_33,West Bengal,Constituency_15,Construction of Health at location 682,Health,12501302.7,2023-05-20,Gram Panchayat
W-1512,MP_35,Kerala,Constituency_19,Construction of Education at location 62,Education,5689105.15,2023-04-19,Gram Panchayat
W-1513,MP_49,Bihar,Constituency_10,Construction of Education at location 254,Education,17530541.8,2023-04-24,Zila Parishad
W-1514,MP_26,Kerala,Constituency_4,Construction of Health at location 444,Health,4195621.34,2023-11-28,Municipal Corporation
W-1515,MP_34,Uttar Pradesh,Constituency_3,Construction of Roads at location 318,Roads,8051297.94,2023-07-29,Zila Parishad
W-1516,MP_23,West Bengal,Constituency_5,Construction of Roads at location 314,Roads,17546293.97,2023-07-06,PWD
W-1517,MP_40,Bihar,Constituency_11,Construction of Roads at location 799,Roads,11257915.37,2023-05-03,PWD
W-1518,MP_20,Maharashtra,Constituency_6,Construction of Drinking Water at location 113,Drinking Water,13976564.47,2023-02-13,Municipal Corporation
W-1519,MP_11,Maharashtra,Constituency_10,Construction of Education at location 489,Education,13174065.91,2023-07-09,Municipal Corporation
W-1520,MP_8,West Bengal,Constituency_16,Construction of Drinking Water at location 692,Drinking Water,8775254.51,2023-06-20,Gram Panchayat
W-1521,MP_42,Kerala,Constituency_7,Construction of Roads at location 605,Roads,12349870.0,2023-04-04,Zila Parishad
W-1522,MP_42,Maharashtra,Constituency_19,Construction of Sanitation at location 935,Sanitation,15765548.05,2023-12-10,PWD
W-1523,MP_4,West Bengal,Constituency_7,Construction of Education at location 29,Education,19215783.84,2023-07-13,Municipal Corporation
W-1524,MP_41,Kerala,Constituency_2,Construction of Education at location 984,Education,4798538.76,2023-03-02,Zila Parishad
W-1525,MP_9,Maharashtra,Constituency_7,Construction of Roads at location 737,Roads,13603534.69,2023-05-07,Trust
W-1526,MP_29,Maharashtra,Constituency_14,Construction of Health at location 997,Health,12076147.41,2023-11-05,PWD
W-1527,MP_25,Kerala,Constituency_5,Construction of Drinking Water at location 951,Drinking Water,614362.19,2023-06-16,PWD
W-1528,MP_25,Uttar Pradesh,Constituency_3,Construction of Education at location 353,Education,14921483.34,2023-03-07,Gram Panchayat
W-1529,MP_27,Maharashtra,Constituency_13,Construction of Roads at location 384,Roads,6382413.71,2023-11-30,PWD
W-1530,MP_49,Uttar Pradesh,Constituency_8,Construction of Sanitation at location 57,Sanitation,7637551.18,2023-12-09,Zila Parishad
W-1531,MP_37,West Bengal,Constituency_13,Construction of Roads at location 390,Roads,13424321.79,2023-01-22,PWD
W-1532,MP_36,West Bengal,Constituency_14,Construction of Drinking Water at location 716,Drinking Water,7240310.24,2023-09-24,Gram Panchayat
W-1533,MP_10,Maharashtra,Constituency_9,Construction of Health at location 386,Health,4921317.42,2023-08-18,Gram Panchayat
W-1534,MP_7,Bihar,Constituency_15,Construction of Drinking Water at location 594,Drinking Water,3977464.49,2023-04-15,Gram Panchayat
W-1535,MP_12,West Bengal,Constituency_4,Construction of Health at location 82,Health,3041200.77,2023-05-09,Municipal Corporation
W-1536,MP_16,Kerala,Constituency_2,Construction of Roads at location 497,Roads,17355858.25,2023-03-16,Municipal Corporation
W-1537,MP_42,West Bengal,Constituency_1,Construction of Drinking Water at location 849,Drinking Water,984760.56,2023-06-07,PWD
W-1538,MP_36,Maharashtra,Constituency_19,Construction of Health at location 168,Health,2421663.6,2023-02-14,Gram Panchayat
W-1539,MP_37,Kerala,Constituency_19,Construction of Education at location 165,Education,12123246.66,2023-05-05,Gram Panchayat
W-1540,MP_10,Uttar Pradesh,Constituency_11,Construction of Health at location 37,Health,14321585.67,2023-05-12,Gram Panchayat
W-1541,MP_1,Maharashtra,Constituency_10,Construction of Drinking Water at location 597,Drinking Water,15078144.0,2023-07-07,Trust
W-1542,MP_34,West Bengal,Constituency_6,Construction of Roads at location 60,Roads,12164656.25,2023-11-01,Zila Parishad
W-1543,MP_21,Bihar,Constituency_16,Construction of Health at location 708,Health,3712252.47,2023-07-27,PWD
W-1544,MP_23,Maharashtra,Constituency_10,Construction of Roads at location 546,Roads,17086313.85,2023-04-20,Zila Parishad
W-1545,MP_34,Kerala,Constituency_17,Construction of Sanitation at location 910,Sanitation,12743344.61,2023-05-19,Gram Panchayat
W-1546,MP_6,Kerala,Constituency_5,Construction of Roads at location 971,Roads,16246956.98,2023-01-20,PWD
W-1547,MP_2,Bihar,Constituency_6,Construction of Drinking Water at location 544,Drinking Water,2926467.05,2023-04-16,PWD
W-1548,MP_43,West Bengal,Constituency_11,Construction of Health at location 916,Health,12031358.23,2023-10-04,PWD
W-1549,MP_4,Kerala,Constituency_14,Construction of Drinking Water at location 623,Drinking Water,18213997.09,2023-12-25,Municipal Corporation
W-1550,MP_41,Maharashtra,Constituency_10,Construction of Health at location 23,Health,8160361.99,2023-02-16,Gram Panchayat
W-1551,MP_2,West Bengal,Constituency_16,Construction of Drinking Water at location 156,Drinking Water,690697.92,2023-04-15,Trust
W-1552,MP_35,Uttar Pradesh,Constituency_16,Construction of Drinking Water at location 331,Drinking Water,10458318.2,2023-09-10,Trust
W-1553,MP_8,Bihar,Constituency_19,Construction of Health at location 136,Health,15375534.1,2023-08-11,Gram Panchayat
W-1554,MP_20,Kerala,Constituency_11,Construction of Education at location 53,Education,7902187.45,2023-06-24,PWD
W-1555,MP_11,West Bengal,Constituency_4,Construction of Sanitation at location 381,Sanitation,7953627.74,2023-03-14,PWD
W-1556,MP_10,Maharashtra,Constituency_2,Construction of Sanitation at location 570,Sanitation,17409466.94,2023-07-20,PWD
W-1557,MP_32,West Bengal,Constituency_17,Construction of Education at location 264,Education,638382.38,2023-09-01,Municipal Corporation
W-1558,MP_30,Maharashtra,Constituency_14,Construction of Roads at location 813,Roads,8579376.77,2023-11-14,Municipal Corporation
W-1559,MP_2,Maharashtra,Constituency_19,Construction of Health at location 33,Health,7377476.84,2023-11-24,PWD
W-1560,MP_38,Kerala,Constituency_3,Construction of Health at location 722,Health,9384699.5,2023-12-27,Municipal Corporation
W-1561,MP_30,West Bengal,Constituency_12,Construction of Health at location 933,Health,802215.72,2023-05-11,Gram Panchayat
W-1562,MP_36,Uttar Pradesh,Constituency_6,Construction of Roads at location 402,Roads,17245664.5,2023-07-10,Zila Parishad
W-1563,MP_45,Maharashtra,Constituency_9,Construction of Health at location 971,Health,18380741.71,2023-05-20,Gram Panchayat
W-1564,MP_14,Maharashtra,Constituency_17,Construction of Roads at location 209,Roads,9227614.03,2023-10-08,PWD
W-1565,MP_15,Bihar,Constituency_16,Construction of Drinking Water at location 943,Drinking Water,9013343.57,2023-06-21,Municipal Corporation
W-1566,MP_14,Uttar Pradesh,Constituency_4,Construction of Sanitation at location 362,Sanitation,4061190.04,2023-04-03,Zila Parishad
W-1567,MP_24,Uttar Pradesh,Constituency_19,Construction of Sanitation at location 600,Sanitation,12562410.41,2023-01-11,Zila Parishad
W-1568,MP_47,Uttar Pradesh,Constituency_18,Construction of Roads at location 582,Roads,6770065.73,2023-04-14,PWD
W-1569,MP_3,Bihar,Constituency_5,Construction of Drinking Water at location 299,Drinking Water,10583799.65,2023-08-01,Municipal Corporation
W-1570,MP_26,Uttar Pradesh,Constituency_19,Construction of Roads at location 528,Roads,5923800.99,2023-10-05,Municipal Corporation
W-1571,MP_9,West Bengal,Constituency_13,Construction of Roads at location 269,Roads,18942641.7,2023-07-05,Zila Parishad
W-1572,MP_32,Kerala,Constituency_1,Construction of Health at location 83,Health,5165547.82,2023-08-13,Zila Parishad
W-1573,MP_28,Bihar,Constituency_18,Construction of Sanitation at location 947,Sanitation,12414956.53,2023-03-14,Gram Panchayat
W-1574,MP_21,Uttar Pradesh,Constituency_19,Construction of Education at location 122,Education,2468479.79,2023-07-30,Gram Panchayat
W-1575,MP_47,Uttar Pradesh,Constituency_3,Construction of Drinking Water at location 89,Drinking Water,12298889.44,2023-07-17,Municipal Corporation
W-1576,MP_15,Uttar Pradesh,Constituency_5,Construction of Drinking Water at location 339,Drinking Water,12900821.75,2023-02-25,Municipal Corporation
W-1577,MP_23,Bihar,Constituency_2,Construction of Sanitation at location 296,Sanitation,3375351.39,2023-01-06,Municipal Corporation
W-1578,MP_42,Kerala,Constituency_9,Construction of Health at location 625,Health,7191890.22,2023-02-15,Zila Parishad
W-1579,MP_2,Bihar,Constituency_15,Construction of Health at location 626,Health,6047983.21,2023-10-07,Municipal Corporation
W-1580,MP_43,Uttar Pradesh,Constituency_1,Construction of Drinking Water at location 878,Drinking Water,8201431.13,2023-03-15,Municipal Corporation
W-1581,MP_47,Kerala,Constituency_5,Construction of Education at location 882,Education,7422404.76,2023-05-08,PWD
W-1582,MP_47,Uttar Pradesh,Constituency_1,Construction of Roads at location 38,Roads,1544742.91,2023-01-25,Zila Parishad
W-1583,MP_25,Maharashtra,Constituency_6,Construction of Roads at location 793,Roads,3633910.31,2023-09-14,Zila Parishad
W-1584,MP_12,Uttar Pradesh,Constituency_17,Construction of Health at location 916,Health,14421068.2,2023-05-11,Municipal Corporation
W-1585,MP_30,Kerala,Constituency_16,Construction of Drinking Water at location 65,Drinking Water,19003866.25,2023-03-29,PWD
W-1586,MP_35,Bihar,Constituency_13,Construction of Sanitation at location 829,Sanitation,19859034.24,2023-02-15,Municipal Corporation
W-1587,MP_45,Uttar Pradesh,Constituency_17,Construction of Education at location 926,Education,9371540.15,2023-08-15,Zila Parishad
W-1588,MP_19,Bihar,Constituency_4,Construction of Drinking Water at location 81,Drinking Water,14476012.42,2023-06-22,Municipal Corporation
W-1589,MP_21,Maharashtra,Constituency_6,Construction of Sanitation at location 649,Sanitation,2561161.78,2023-07-08,Zila Parishad
W-1590,MP_9,Kerala,Constituency_7,Construction of Education at location 566,Education,15669918.29,2023-04-14,Municipal Corporation
W-1591,MP_16,Kerala,Constituency_11,Construction of Education at location 849,Education,858429.3,2023-05-03,PWD
W-1592,MP_3,Kerala,Constituency_4,Construction of Drinking Water at location 216,Drinking Water,1888014.61,2023-07-02,Zila Parishad
W-1593,MP_43,West Bengal,Constituency_18,Construction of Health at location 67,Health,2175252.57,2023-04-23,Gram Panchayat
W-1594,MP_47,Uttar Pradesh,Constituency_10,Construction of Drinking Water at location 184,Drinking Water,6081373.99,2023-01-23,Municipal Corporation
W-1595,MP_36,Kerala,Constituency_1,Construction of Sanitation at location 989,Sanitation,1965287.59,2023-12-12,Zila Parishad
W-1596,MP_38,Kerala,Constituency_3,Construction of Education at location 541,Education,12351373.99,2023-09-04,Gram Panchayat
W-1597,MP_12,Maharashtra,Constituency_17,Construction of Education at location 870,Education,16449131.45,2023-06-10,Zila Parishad
W-1598,MP_24,Kerala,Constituency_10,Construction of Drinking Water at location 553,Drinking Water,9211420.74,2023-03-18,Gram Panchayat
W-1599,MP_7,Kerala,Constituency_3,Construction of Sanitation at location 701,Sanitation,11604906.57,2023-05-31,Zila Parishad
W-1600,MP_5,Bihar,Constituency_1,Construction of Drinking Water at location 634,Drinking Water,13788472.25,2023-10-09,Gram Panchayat
W-1601,MP_31,Bihar,Constituency_18,Construction of Health at location 42,Health,15093036.25,2023-01-12,PWD
W-1602,MP_24,West Bengal,Constituency_1,Construction of Roads at location 653,Roads,5808690.58,2023-07-18,Zila Parishad
W-1603,MP_37,Uttar Pradesh,Constituency_10,Construction of Roads at location 793,Roads,15549767.31,2023-09-15,PWD
W-1604,MP_8,West Bengal,Constituency_4,Construction of Roads at location 735,Roads,4178328.81,2023-05-01,Zila Parishad
W-1605,MP_32,Kerala,Constituency_8,Construction of Roads at location 166,Roads,1235099.11,2023-07-07,Zila Parishad
W-1606,MP_48,Uttar Pradesh,Constituency_1,Construction of Education at location 661,Education,525046.3,2023-10-05,PWD
W-1607,MP_6,Maharashtra,Constituency_12,Construction of Roads at location 951,Roads,14635798.56,2023-01-05,Municipal Corporation
W-1608,MP_19,Bihar,Constituency_8,Construction of Drinking Water at location 690,Drinking Water,18128682.24,2023-04-05,PWD
W-1609,MP_25,West Bengal,Constituency_16,Construction of Education at location 912,Education,12951602.68,2023-11-04,Gram Panchayat
W-1610,MP_35,Kerala,Constituency_3,Construction of Roads at location 377,Roads,13186827.2,2023-08-02,Gram Panchayat
W-1611,MP_14,Bihar,Constituency_5,Construction of Education at location 23,Education,2538293.81,2023-04-04,Gram Panchayat
W-1612,MP_23,Kerala,Constituency_17,Construction of Health at location 561,Health,13866090.19,2023-07-20,Gram Panchayat
W-1613,MP_23,Kerala,Constituency_7,Construction of Sanitation at location 69,Sanitation,6673662.18,2023-03-22,Gram Panchayat
W-1614,MP_18,Kerala,Constituency_11,Construction of Health at location 154,Health,15111649.43,2023-01-10,Municipal Corporation
W-1615,MP_11,West Bengal,Constituency_18,Construction of Education at location 497,Education,6471665.28,2023-11-12,Zila Parishad
W-1616,MP_45,Maharashtra,Constituency_11,Construction of Drinking Water at location 720,Drinking Water,5660665.35,2023-06-13,Municipal Corporation
W-1617,MP_13,Uttar Pradesh,Constituency_9,Construction of Health at location 814,Health,11846372.7,2023-11-06,PWD
W-1618,MP_19,Kerala,Constituency_18,Construction of Roads at location 296,Roads,11557139.28,2023-01-22,Municipal Corporation
W-1619,MP_26,Uttar Pradesh,Constituency_9,Construction of Drinking Water at location 336,Drinking Water,12860071.47,2023-04-05,Zila Parishad
W-1620,MP_32,Bihar,Constituency_19,Construction of Drinking Water at location 937,Drinking Water,1405456.28,2023-10-08,Gram Panchayat
W-1621,MP_33,Uttar Pradesh,Constituency_6,Construction of Drinking Water at location 317,Drinking Water,5609682.59,2023-06-23,Zila Parishad
W-1622,MP_17,West Bengal,Constituency_7,Construction of Drinking Water at location 288,Drinking Water,16887806.46,2023-02-24,Gram Panchayat
W-1623,MP_7,Bihar,Constituency_5,Construction of Education at location 685,Education,18686500.72,2023-05-21,PWD
W-1624,MP_19,Kerala,Constituency_1,Construction of Sanitation at location 444,Sanitation,8863304.91,2023-02-02,Zila Parishad
W-1625,MP_13,Kerala,Constituency_10,Construction of Health at location 325,Health,19818894.89,2023-12-23,Municipal Corporation
W-1626,MP_2,Maharashtra,Constituency_5,Construction of Roads at location 935,Roads,11552719.05,2023-08-23,PWD
W-1627,MP_25,Kerala,Constituency_4,Construction of Health at location 114,Health,4520952.96,2023-08-11,Gram Panchayat
W-1628,MP_2,West Bengal,Constituency_11,Construction of Sanitation at location 896,Sanitation,16727167.85,2023-09-13,Municipal Corporation
W-1629,MP_42,West Bengal,Constituency_2,Construction of Sanitation at location 232,Sanitation,17697114.05,2023-12-27,Zila Parishad
W-1630,MP_7,Bihar,Constituency_9,Construction of Drinking Water at location 264,Drinking Water,1123891.97,2023-03-05,Zila Parishad
W-1631,MP_26,Uttar Pradesh,Constituency_6,Construction of Education at location 474,Education,10495386.11,2023-01-17,PWD
W-1632,MP_45,Maharashtra,Constituency_3,Construction of Education at location 284,Education,14268133.24,2023-12-25,Municipal Corporation
W-1633,MP_29,Uttar Pradesh,Constituency_19,Construction of Roads at location 503,Roads,2207723.68,2023-08-03,Gram Panchayat
W-1634,MP_43,Bihar,Constituency_13,Construction of Sanitation at location 756,Sanitation,13132822.25,2023-12-24,Gram Panchayat
W-1635,MP_36,Maharashtra,Constituency_14,Construction of Sanitation at location 471,Sanitation,19559747.48,2023-04-19,Municipal Corporation
W-1636,MP_16,Kerala,Constituency_15,Construction of Drinking Water at location 694,Drinking Water,4585925.17,2023-04-15,Municipal Corporation
W-1637,MP_47,West Bengal,Constituency_15,Construction of Education at location 870,Education,18318417.56,2023-09-12,Zila Parishad
W-1638,MP_29,Uttar Pradesh,Constituency_4,Construction of Health at location 133,Health,5860465.34,2023-02-24,Gram Panchayat
W-1639,MP_43,West Bengal,Constituency_3,Construction of Sanitation at location 561,Sanitation,15270646.49,2023-11-25,Municipal Corporation
W-1640,MP_29,Uttar Pradesh,Constituency_8,Construction of Roads at location 926,Roads,5843229.72,2023-05-29,Zila Parishad
W-1641,MP_42,Bihar,Constituency_18,Construction of Education at location 221,Education,18490161.9,2023-09-30,Municipal Corporation
W-1642,MP_36,Uttar Pradesh,Constituency_13,Construction of Education at location 236,Education,15558685.38,2023-05-08,Municipal Corporation
W-1643,MP_46,Kerala,Constituency_19,Construction of Drinking Water at location 869,Drinking Water,4938834.45,2023-12-06,PWD
W-1644,MP_3,Maharashtra,Constituency_14,Construction of Drinking Water at location 856,Drinking Water,10902830.28,2023-01-10,PWD
W-1645,MP_47,West Bengal,Constituency_5,Construction of Education at location 705,Education,3203724.32,2023-03-17,Gram Panchayat
W-1646,MP_4,West Bengal,Constituency_8,Construction of Sanitation at location 985,Sanitation,11260660.3,2023-03-27,Trust
W-1647,MP_11,Maharashtra,Constituency_2,Construction of Drinking Water at location 929,Drinking Water,1848896.71,2023-10-09,PWD
W-1648,MP_9,Kerala,Constituency_17,Construction of Drinking Water at location 292,Drinking Water,13384184.17,2023-10-19,Zila Parishad
W-1649,MP_10,Bihar,Constituency_3,Construction of Sanitation at location 700,Sanitation,2712512.74,2023-09-11,Municipal Corporation
W-1650,MP_2,Bihar,Constituency_4,Construction of Drinking Water at location 245,Drinking Water,10242559.03,2023-11-02,Municipal Corporation
W-1651,MP_25,Maharashtra,Constituency_16,Construction of Drinking Water at location 407,Drinking Water,2799804.16,2023-03-26,PWD
W-1652,MP_9,Uttar Pradesh,Constituency_2,Construction of Health at location 258,Health,9768292.94,2023-01-05,Municipal Corporation
W-1653,MP_6,Kerala,Constituency_10,Construction of Roads at location 901,Roads,6455938.94,2023-07-10,Zila Parishad
W-1654,MP_10,West Bengal,Constituency_3,Construction of Drinking Water at location 932,Drinking Water,8344746.22,2023-03-11,Municipal Corporation
W-1655,MP_4,West Bengal,Constituency_1,Construction of Health at location 786,Health,9984636.75,2023-10-09,Municipal Corporation
W-1656,MP_19,Maharashtra,Constituency_11,Construction of Sanitation at location 885,Sanitation,19824230.31,2023-11-08,PWD
W-1657,MP_8,Bihar,Constituency_16,Construction of Sanitation at location 925,Sanitation,11556740.35,2023-08-04,PWD
W-1658,MP_10,Maharashtra,Constituency_7,Construction of Health at location 775,Health,18567681.72,2023-11-08,Municipal Corporation
W-1659,MP_34,Uttar Pradesh,Constituency_10,Construction of Sanitation at location 547,Sanitation,7322961.54,2023-09-28,Zila Parishad
W-1660,MP_4,Kerala,Constituency_5,Construction of Drinking Water at location 227,Drinking Water,6897358.85,2023-03-22,Gram Panchayat
W-1661,MP_36,West Bengal,Constituency_18,Construction of Roads at location 960,Roads,2515871.14,2023-06-03,PWD
W-1662,MP_39,Bihar,Constituency_10,Construction of Health at location 916,Health,12424149.63,2023-12-23,Gram Panchayat
W-1663,MP_9,West Bengal,Constituency_17,Construction of Sanitation at location 353,Sanitation,990224.65,2023-09-22,Trust
W-1664,MP_20,Kerala,Constituency_10,Construction of Drinking Water at location 676,Drinking Water,2319308.18,2023-04-02,Gram Panchayat
W-1665,MP_5,Maharashtra,Constituency_15,Construction of Health at location 257,Health,15402985.64,2023-10-27,PWD
W-1666,MP_25,West Bengal,Constituency_3,Construction of Education at location 570,Education,10152164.5,2023-03-04,Gram Panchayat
W-1667,MP_39,Kerala,Constituency_8,Construction of Sanitation at location 398,Sanitation,8920199.47,2023-09-02,PWD
W-1668,MP_31,Kerala,Constituency_1,Construction of Health at location 584,Health,2412128.05,2023-11-23,Zila Parishad
W-1669,MP_25,Maharashtra,Constituency_6,Construction of Roads at location 704,Roads,3085777.82,2023-01-24,PWD
W-1670,MP_1,Maharashtra,Constituency_19,Construction of Sanitation at location 308,Sanitation,12350341.26,2023-10-13,Municipal Corporation
W-1671,MP_45,West Bengal,Constituency_13,Construction of Education at location 855,Education,16678539.27,2023-05-20,PWD
W-1672,MP_9,West Bengal,Constituency_4,Construction of Education at location 676,Education,7477358.95,2023-12-24,Gram Panchayat
W-1673,MP_7,Kerala,Constituency_6,Construction of Sanitation at location 565,Sanitation,10439601.85,2023-01-18,Zila Parishad
W-1674,MP_16,Uttar Pradesh,Constituency_11,Construction of Roads at location 131,Roads,11650661.04,2023-08-12,Zila Parishad
W-1675,MP_11,Kerala,Constituency_13,Construction of Sanitation at location 8,Sanitation,19249243.75,2023-02-01,Municipal Corporation
W-1676,MP_41,West Bengal,Constituency_13,Construction of Health at location 793,Health,4003356.14,2023-08-22,Municipal Corporation
W-1677,MP_9,West Bengal,Constituency_13,Construction of Roads at location 826,Roads,19157886.08,2023-03-29,Municipal Corporation
W-1678,MP_33,West Bengal,Constituency_6,Construction of Health at location 18,Health,9150194.18,2023-09-29,Municipal Corporation
W-1679,MP_36,Kerala,Constituency_15,Construction of Sanitation at location 347,Sanitation,3166340.35,2023-06-21,Zila Parishad
W-1680,MP_4,West Bengal,Constituency_2,Construction of Sanitation at location 673,Sanitation,8777610.24,2023-09-16,Municipal Corporation
W-1681,MP_21,Maharashtra,Constituency_17,Construction of Education at location 178,Education,14395727.44,2023-05-19,Zila Parishad
W-1682,MP_6,West Bengal,Constituency_5,Construction of Drinking Water at location 490,Drinking Water,9160203.6,2023-01-08,Gram Panchayat
